ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32134,32134.TXT,0.84091,0.14395,0.24581,3

ROUGE-1+StopWordRemoval,FNS32134,32134.TXT,0.86409,0.05052,0.09546,3

ROUGE-2+StopWordRemoval,FNS32134,32134.TXT,0.62425,0.03155,0.06007,3

ROUGE-SU4+StopWordRemoval,FNS32134,32134.TXT,0.67028,0.02920,0.05596,3

ROUGE-L+StopWordRemoval,FNS32376,32376.TXT,0.76485,0.12883,0.22052,4

ROUGE-1+StopWordRemoval,FNS32376,32376.TXT,0.71005,0.05724,0.10594,4

ROUGE-2+StopWordRemoval,FNS32376,32376.TXT,0.45252,0.03338,0.06217,4

ROUGE-SU4+StopWordRemoval,FNS32376,32376.TXT,0.52684,0.03013,0.05700,4

ROUGE-L+StopWordRemoval,FNS32135,32135.TXT,0.75461,0.17553,0.28481,4

ROUGE-1+StopWordRemoval,FNS32135,32135.TXT,0.73590,0.10189,0.17899,4

ROUGE-2+StopWordRemoval,FNS32135,32135.TXT,0.52605,0.06138,0.10994,4

ROUGE-SU4+StopWordRemoval,FNS32135,32135.TXT,0.58001,0.05780,0.10512,4

ROUGE-L+StopWordRemoval,FNS30991,30991.TXT,0.77072,0.10299,0.18169,4

ROUGE-1+StopWordRemoval,FNS30991,30991.TXT,0.74842,0.03679,0.07014,4

ROUGE-2+StopWordRemoval,FNS30991,30991.TXT,0.50966,0.02094,0.04022,4

ROUGE-SU4+StopWordRemoval,FNS30991,30991.TXT,0.58970,0.01970,0.03814,4

ROUGE-L+StopWordRemoval,FNS32136,32136.TXT,0.80134,0.22671,0.35343,4

ROUGE-1+StopWordRemoval,FNS32136,32136.TXT,0.79393,0.11999,0.20847,4

ROUGE-2+StopWordRemoval,FNS32136,32136.TXT,0.55434,0.07449,0.13133,4

ROUGE-SU4+StopWordRemoval,FNS32136,32136.TXT,0.63047,0.06786,0.12253,4

